Geography,Geographic Area Name,Zipcode,Male,Female,Median age (years),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total housing units,Households Total,Households Mean income (dollars),Families - Median income (dollars),Families - Mean income (dollars),Married-couple families - Median income (dollars),Nonfamily households - Median income (dollars),Nonfamily households - Mean income (dollars),Total Workers 16 years and over,Workers Median age (years),Workers Native,Workers Foreign born,Workers Foreign born - Naturalized U.S. citizen,Workers Foreign born - Not a U.S. citizen,Speak language other than English,Workers Median earnings (dollars),Workers 16 years and over who did not work from home,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Less than high school graduate,Tota - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!High school graduate (includes equivalency),Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Some college or associate's degree,Total - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings Bachelor's degree,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Graduate or professional degree,Total Population,Total Disability ,Total Disability  Male,Total Disability Female,Total Disability  With a hearing difficulty,Total Disability  With a vision difficulty,Total Disability  With a cognitive difficulty,Total Disability  With an ambulatory difficulty,Total Disability  With a self-care difficulty,Total Disability With an independent living difficulty,Percent with a disability
860Z200US64426,ZCTA5 64426,64426,321,206,36.3,53,6,18,28,51,84,93,19,42,51,40,33,9,232,191,63477,78125,67265,85969,34375,47637,216,30.3,100,0,0,0,0,36528,213,32734,,31699,29583,34063,55500,527,151,113,38,13,85,6,131,7,90,28.7
860Z200US64427,ZCTA5 64427,64427,336,285,49.3,21,46,16,35,27,80,47,108,54,59,78,39,11,280,253,74763,85000,88211,88365,27279,38249,304,47.2,99.7,0.3,0,0.3,1.3,41389,280,37054,,35227,36667,46250,41250,621,112,65,47,52,5,21,49,4,18,18
860Z200US64428,ZCTA5 64428,64428,267,294,43.3,41,19,56,15,33,65,63,45,67,53,31,47,26,333,272,65011,71786,80256,79167,32917,34247,270,44.4,100,0,0,0,3.3,43750,233,45000,,41667,48750,,50625,561,109,33,76,44,30,25,50,19,41,19.4
860Z200US64429,ZCTA5 64429,64429,6983,4832,41.6,406,787,566,570,758,1879,1528,1453,787,958,1350,430,343,4539,4056,79612,84516,104638,95530,47703,49705,4197,43.6,97.9,2.1,1,1.1,2.7,41756,3776,43961,,41377,40233,60100,53214,9478,1140,676,464,285,148,442,657,198,407,12
860Z200US64430,ZCTA5 64430,64430,454,352,57.4,27,70,53,32,47,51,18,65,105,114,95,117,12,370,351,93205,84798,101845,87656,58750,68603,259,54.4,100,0,0,0,1.5,40938,242,37150,,53819,26845,31786,,806,158,73,85,50,2,16,117,47,112,19.6
860Z200US64431,ZCTA5 64431,64431,188,213,50.6,17,26,8,42,19,19,40,64,26,40,43,36,21,228,186,89916,93977,112024,103750,40625,57195,204,50.5,100,0,0,0,0,53625,194,53250,,52604,52969,27292,119205,401,67,42,25,32,15,16,34,5,8,16.7
860Z200US64432,ZCTA5 64432,64432,23,121,73.6,4,1,2,2,7,4,6,4,1,19,28,21,45,26,13,64562,58750,64562,58750,,,18,44.5,100,0,0,0,16.7,,15,,,,68125,,,116,12,4,8,11,0,5,9,1,5,10.3
860Z200US64433,ZCTA5 64433,64433,179,27,24.8,6,7,0,81,11,28,11,19,8,4,11,12,8,24,23,76970,49167,57800,49583,,29733,73,30.5,100,0,0,0,6.8,46705,44,48021,,,45500,,63472,206,15,4,11,6,9,6,6,4,4,7.3
860Z200US64434,ZCTA5 64434,64434,314,211,49.7,25,38,25,36,7,18,83,62,83,54,41,41,12,271,243,92234,87500,97813,94375,106250,84391,262,51.7,100,0,0,0,0,43182,252,41944,,42500,,36250,56250,515,98,73,25,39,21,58,26,23,32,19
860Z200US64436,ZCTA5 64436,64436,516,449,37.3,77,93,102,12,75,80,191,136,17,41,77,60,4,334,316,108146,111333,115445,112333,62708,60645,478,40.3,99.6,0.4,0,0.4,2.7,61250,420,67688,,,62353,83214,68627,949,93,51,42,24,12,24,50,5,25,9.8
860Z200US64437,ZCTA5 64437,64437,229,208,55.4,3,28,32,18,9,29,49,49,40,73,49,53,5,532,183,73126,58750,73667,62188,31458,70728,208,52.3,99,1,0,1,1,30000,193,27750,20625,24167,24000,105114,,437,105,58,47,31,12,32,66,7,9,24
860Z200US64438,ZCTA5 64438,64438,65,76,40.6,0,11,8,4,0,2,58,2,43,2,6,3,2,65,60,107830,136667,146445,136806,22500,30600,57,40.4,100,0,0,0,7,77396,42,76354,,180917,,59318,,141,12,6,6,8,0,12,8,0,10,8.5
860Z200US64439,ZCTA5 64439,64439,739,796,41.1,112,96,142,189,28,117,212,167,71,112,96,145,48,663,583,94522,99943,105930,108995,41786,61272,669,46.2,98.5,1.5,1.5,0,1.5,55281,620,56375,,57417,42188,72679,51875,1535,246,134,112,84,44,67,120,52,43,16
860Z200US64440,ZCTA5 64440,64440,447,429,37,93,43,32,105,18,85,143,80,48,87,93,46,3,386,314,95088,91429,106438,118043,33438,36689,422,44,100,0,0,0,0,52500,411,52904,,53922,44250,54000,,876,73,40,33,17,3,20,37,2,11,8.3
860Z200US64441,ZCTA5 64441,64441,67,33,56.6,0,6,15,7,6,0,6,6,7,9,7,31,0,74,45,47991,88333,67465,88333,37917,32412,27,60.3,100,0,0,0,0,,21,,,,,,,100,32,22,10,16,0,0,17,0,0,32
860Z200US64442,ZCTA5 64442,64442,511,545,39.9,82,62,44,116,67,95,91,166,47,74,129,75,8,405,333,82148,64271,89913,83750,31500,39635,473,43.5,100,0,0,0,4.9,33063,421,35761,47500,29906,24444,40313,91875,1056,298,165,133,85,83,167,128,25,103,28.2
860Z200US64443,ZCTA5 64443,64443,974,673,41.7,149,139,128,116,66,153,145,328,119,60,170,64,10,588,529,133530,105714,135119,116818,,79493,786,47.2,99.7,0.3,0.3,0,0,46406,703,49453,,37255,45388,86364,,1647,141,113,28,7,8,84,47,10,31,8.6
860Z200US64444,ZCTA5 64444,64444,717,583,48.4,26,27,55,77,118,144,138,137,219,127,107,88,37,574,567,84490,100625,113759,115189,36171,35102,595,47.7,99,1,1,0,1.3,42474,555,45750,35417,44583,58750,38529,,1300,362,257,105,50,108,203,139,188,192,27.8
860Z200US64445,ZCTA5 64445,64445,152,153,32,3,22,27,37,14,62,59,19,13,21,11,10,7,189,139,72668,78500,89839,78750,52292,52965,157,36.1,100,0,0,0,0,45729,157,46250,,57500,47250,38021,,305,17,12,5,0,7,2,12,4,4,5.6
860Z200US64446,ZCTA5 64446,64446,553,532,47.9,66,62,64,50,25,147,86,119,86,91,170,79,40,581,468,66241,59250,73305,65556,29500,42845,525,50.6,98.5,1.5,0,1.5,1.5,35815,502,37202,33438,36250,43750,40125,61250,1085,222,137,85,111,52,82,129,36,54,20.5
860Z200US64448,ZCTA5 64448,64448,437,425,55.6,22,54,40,42,0,96,134,32,44,99,247,52,0,468,406,80658,70066,90963,70066,36763,63255,488,51.4,100,0,0,0,0,29786,443,29964,,35650,25224,48864,,862,116,56,60,48,28,16,48,6,0,13.5
860Z200US64449,ZCTA5 64449,64449,243,272,36,36,58,21,28,28,33,91,92,9,42,51,9,17,201,183,76444,87500,93307,98750,29750,46646,291,45.8,99.3,0.7,0.7,0,0,35568,274,37386,29688,,60987,,88750,515,71,41,30,24,5,14,32,8,42,13.8
860Z200US64451,ZCTA5 64451,64451,193,190,50.8,27,19,13,21,24,35,9,57,49,9,90,29,1,217,181,55207,54000,63680,74500,34088,37668,135,50.1,100,0,0,0,0,45859,102,43750,,,46786,,50750,383,95,35,60,57,21,21,42,9,17,24.8
860Z200US64453,ZCTA5 64453,64453,118,88,23.5,20,21,28,9,27,18,37,22,16,2,6,0,0,109,56,104611,99375,117695,115875,75536,74079,114,39.8,100,0,0,0,0,36250,112,43750,,56875,38611,,,206,14,10,4,0,0,12,2,0,0,6.8
860Z200US64454,ZCTA5 64454,64454,1363,1223,36.4,240,246,197,157,84,315,359,323,62,151,219,173,60,1077,955,93505,94561,122836,106750,22500,29107,1084,38.9,99.4,0.6,0.6,0,0.7,52121,1006,52784,23036,50682,48516,52583,67411,2513,425,272,153,77,77,170,165,63,96,16.9
860Z200US64455,ZCTA5 64455,64455,145,165,58.7,17,19,11,4,8,23,14,26,49,12,51,55,21,170,153,72900,85625,89909,108333,,35069,105,53.5,100,0,0,0,1,40938,93,41250,,38958,40417,96250,49500,310,81,43,38,40,12,22,42,8,22,26.1
860Z200US64456,ZCTA5 64456,64456,670,726,42.5,101,91,91,72,71,116,200,147,91,71,176,123,46,719,534,67586,63750,85290,86500,34375,41903,572,43.3,100,0,0,0,0.7,32500,515,33036,33250,34135,17434,41000,47321,1369,325,220,105,84,30,177,110,23,77,23.7
860Z200US64457,ZCTA5 64457,64457,119,119,56.9,11,2,11,6,7,26,18,17,32,17,58,12,21,122,114,54511,65455,66368,65795,11042,17859,93,49.9,100,0,0,0,0,29583,92,29583,,23750,48214,47813,,238,23,4,19,12,14,4,20,5,19,9.7
860Z200US64458,ZCTA5 64458,64458,79,98,38.7,28,0,6,0,40,0,31,7,0,3,11,25,26,66,51,34367,,58262,,,,18,48.7,100,0,0,0,0,33750,18,33750,,,63125,,,177,79,52,27,14,22,63,29,2,15,44.6
860Z200US64459,ZCTA5 64459,64459,307,195,31.8,24,14,7,63,50,104,0,77,0,49,30,37,47,250,209,70103,,81935,99519,26452,27839,240,31.4,100,0,0,0,0,40393,240,37250,,36731,48333,,,502,77,52,25,53,0,30,33,0,3,15.3
860Z200US64461,ZCTA5 64461,64461,496,430,41.4,36,65,77,89,69,71,118,127,59,74,76,46,19,419,381,98436,79688,125592,88125,26744,40794,471,45.4,100,0,0,0,0,43813,461,46125,43542,43295,50000,49375,,924,92,51,41,41,10,27,32,5,23,10
860Z200US64463,ZCTA5 64463,64463,602,637,44.6,55,59,79,105,64,126,136,174,135,71,118,88,29,549,498,78373,75536,97621,79688,38750,38740,596,47.4,98.8,1.2,0.8,0.3,0.3,40395,550,40221,17232,33393,42500,43333,54659,1211,172,83,89,40,29,81,76,50,74,14.2
860Z200US64465,ZCTA5 64465,64465,1886,2184,44.1,81,225,278,396,252,251,622,634,282,369,407,194,79,1659,1517,82466,99500,97699,103339,48417,49040,2085,44.6,98.1,1.9,1.3,0.6,1.7,45496,1920,48589,53839,45182,50851,48095,54427,4070,777,336,441,345,198,263,307,56,295,19.1
860Z200US64466,ZCTA5 64466,64466,300,276,51.4,30,23,7,36,40,74,34,64,92,29,92,41,14,299,245,113053,66250,94366,89375,37143,136861,279,49.9,95,5,5,0,5.7,35699,264,35345,39750,31875,33750,37386,,576,147,96,51,61,78,95,58,20,35,25.5
860Z200US64467,ZCTA5 64467,64467,96,67,52.1,0,0,0,51,0,0,21,35,10,15,15,10,6,129,67,55449,103333,85826,107500,,15648,58,52.2,100,0,0,0,0,,51,,,,67723,,,163,32,13,19,19,0,14,11,2,12,19.6
860Z200US64468,ZCTA5 64468,64468,6891,7424,29,625,381,673,2137,2597,1554,1450,1213,719,798,1225,605,338,6211,5585,67456,83347,91502,92432,32518,41634,7028,34.1,98.3,1.7,0.4,1.3,2.9,30503,6715,46345,46133,40647,40433,52367,53966,13614,1555,704,851,420,351,659,627,253,549,11.4
860Z200US64469,ZCTA5 64469,64469,1107,1111,40.3,101,112,173,244,88,265,350,261,113,111,165,196,39,963,876,74054,87543,88748,88190,30556,43047,1041,42.3,97.5,2.5,0,2.5,2.9,42589,957,42077,24451,46923,41544,48929,49125,2175,318,180,138,94,53,98,150,79,132,14.6
860Z200US64470,ZCTA5 64470,64470,760,814,45.5,109,72,148,100,26,172,149,183,97,109,223,75,111,776,622,83754,76071,102690,82188,29444,41136,716,45.5,99.4,0.6,0.4,0.1,0.7,39276,671,41528,51442,36875,41705,51458,,1509,228,133,95,104,29,67,93,17,51,15.1
860Z200US64471,ZCTA5 64471,64471,292,213,36.1,19,37,65,44,40,47,54,59,34,44,42,16,4,259,214,54646,65208,75331,66736,21250,27501,221,36.4,96.8,3.2,0,3.2,3.2,36313,210,42500,20938,38125,49792,48750,,492,93,75,18,19,17,42,53,35,13,18.9
860Z200US64473,ZCTA5 64473,64473,622,645,45.8,50,65,73,93,67,110,150,169,90,88,129,80,103,596,491,72805,68125,91037,85625,28438,32972,613,43.7,100,0,0,0,0.2,38250,562,42155,11250,44091,40625,40625,53333,1210,267,109,158,79,87,123,102,33,81,22.1
860Z200US64474,ZCTA5 64474,64474,374,355,49.4,57,41,49,30,12,69,65,137,13,61,126,58,11,371,338,70820,77500,79655,84500,50000,60273,343,49.4,99.1,0.9,0.9,0,0.3,53087,293,52857,,32500,49375,70598,53721,729,110,69,41,77,3,13,39,3,12,15.1
860Z200US64475,ZCTA5 64475,64475,221,157,39.7,29,10,20,41,16,57,34,22,21,71,39,14,4,216,169,64108,57500,73031,75208,40125,48172,179,40.5,100,0,0,0,0,39922,174,39922,,39833,,60000,51875,378,67,31,36,13,4,40,35,7,21,17.7
860Z200US64476,ZCTA5 64476,64476,140,128,38.4,12,30,17,18,10,38,33,5,7,26,25,33,14,138,117,82159,58125,81253,52813,35000,67418,111,38.5,94.6,5.4,5.4,0,5.4,41625,109,42813,,39167,43125,43906,,268,43,23,20,15,5,27,20,6,9,16
860Z200US64477,ZCTA5 64477,64477,1756,1703,51.7,155,208,177,119,153,317,303,461,266,397,507,256,140,1584,1423,78470,100164,104056,104028,28730,40972,1531,48.1,98.8,1.2,0.5,0.8,1.6,44953,1393,45337,31042,45875,41207,48125,59702,3346,636,318,318,290,112,208,286,95,188,19
860Z200US64479,ZCTA5 64479,64479,604,513,32.9,151,74,117,52,18,168,169,63,45,62,118,67,13,449,402,74547,71625,85631,86500,34028,47579,392,40,98,2,1,1,0.5,45000,346,45417,,38125,45750,42500,65972,1117,151,102,49,103,14,23,40,17,45,13.5
860Z200US64480,ZCTA5 64480,64480,187,175,59.9,7,0,18,29,2,8,50,42,27,56,112,8,3,194,162,126415,167750,152284,168000,,61178,195,56.9,80,20,20,0,20,72875,172,70417,,39063,61094,,158077,362,35,22,13,15,0,17,10,8,8,9.7
860Z200US64481,ZCTA5 64481,64481,603,576,38.6,115,88,63,62,53,187,84,183,77,43,101,105,18,544,411,61575,65900,66178,73500,45893,50024,435,44.1,100,0,0,0,0.5,31635,422,34688,33333,29464,35000,36875,,1179,202,129,73,81,45,64,107,20,50,17.1
860Z200US64482,ZCTA5 64482,64482,1007,964,44.1,99,186,135,120,56,170,241,261,116,103,232,147,105,959,838,86141,79659,108526,99545,31563,41812,922,48.2,99.5,0.5,0.1,0.4,1.5,40143,858,41679,,36691,43068,50662,44750,1924,287,159,128,179,106,91,184,96,148,14.9
860Z200US64483,ZCTA5 64483,64483,289,241,42.9,6,16,16,31,96,50,60,76,40,16,88,31,4,232,185,76594,71563,81101,74750,35000,51935,230,38.5,100,0,0,0,0,34118,225,34732,55625,45625,,29167,,530,84,31,53,23,12,24,67,31,26,15.8
860Z200US64484,ZCTA5 64484,64484,399,444,52.7,20,62,50,29,16,99,77,92,66,84,170,73,5,407,380,70970,78594,83754,88036,27279,38628,376,47.5,100,0,0,0,0.5,46250,355,45179,,41250,45750,41111,52656,841,130,65,65,79,17,22,48,28,32,15.5
860Z200US64485,ZCTA5 64485,64485,3805,4038,41.7,471,545,538,379,350,983,938,750,379,616,1019,475,400,3488,3207,78338,87832,99275,95854,28636,37246,3674,41.8,99.7,0.3,0.3,0,0.8,46770,3455,50573,76563,41989,60536,51744,68533,7646,976,371,605,384,173,381,607,142,330,12.8
860Z200US64486,ZCTA5 64486,64486,150,127,50.4,4,17,19,28,2,13,16,48,31,42,24,29,4,198,115,58260,54375,86843,63125,18676,21102,114,49.4,98.2,1.8,1.8,0,0.9,43214,66,43274,"250,000+",42632,37083,,,277,49,11,38,13,15,26,35,4,22,17.7
860Z200US64487,ZCTA5 64487,64487,268,278,50.3,22,35,13,26,25,60,47,86,82,24,79,27,20,352,268,60688,64375,66584,75417,44545,53884,278,51.6,99.3,0.7,0,0.7,13.7,37708,229,38438,31094,44375,36250,54643,,544,97,49,48,31,22,46,55,35,41,17.8
860Z200US64489,ZCTA5 64489,64489,1081,1130,35.6,179,231,157,143,100,280,240,199,96,193,242,87,64,919,781,88693,80982,114940,81607,35547,39093,925,42.9,98.5,1.5,0.2,1.3,8.1,39338,787,39730,29000,33750,43125,68750,48542,2157,344,162,182,104,29,154,122,88,158,15.9
860Z200US64490,ZCTA5 64490,64490,906,952,39.6,115,159,133,101,69,246,243,190,160,111,110,179,42,813,714,94844,88650,105194,102143,61528,55960,911,42.5,100,0,0,0,0.2,43813,793,46034,,36583,48571,54107,78676,1858,257,109,148,95,77,79,69,24,99,13.8
860Z200US64491,ZCTA5 64491,64491,841,801,48.8,63,73,78,91,117,206,154,168,112,153,203,171,53,882,745,73706,71042,87290,83750,39688,49786,839,42.8,99.3,0.7,0.4,0.4,5.7,34469,815,34761,,31667,39792,43611,,1611,291,150,141,83,32,98,116,38,110,18.1
860Z200US64492,ZCTA5 64492,64492,841,867,47.2,203,74,47,49,64,249,140,194,106,301,174,71,36,727,694,82906,69438,84765,70486,54583,60366,748,46.7,98,2,0.5,1.5,2,47379,690,47354,46250,46050,46339,79048,79375,1705,238,110,128,70,67,68,100,33,128,14
860Z200US64493,ZCTA5 64493,64493,136,154,49.7,5,31,20,2,12,13,47,38,16,44,53,9,0,131,122,101762,128125,126810,132500,,39500,148,49.5,100,0,0,0,1.4,54500,132,60288,51250,115074,46442,,,290,27,16,11,8,4,12,14,14,14,9.3
860Z200US64494,ZCTA5 64494,64494,476,590,40,51,85,76,47,131,90,120,89,60,69,133,61,54,480,424,74774,74063,84297,84063,54688,48243,489,39.3,100,0,0,0,0,36884,408,44250,,43750,30000,53750,50625,1066,127,50,77,55,42,28,53,18,36,11.9
860Z200US64496,ZCTA5 64496,64496,83,119,53.8,2,6,8,20,0,1,21,44,24,13,59,4,0,144,95,53640,,51289,51875,75625,62455,57,58.5,100,0,0,0,0,26250,48,26389,26250,,,103333,,202,41,27,14,22,0,3,16,6,1,20.3
860Z200US64497,ZCTA5 64497,64497,305,305,38.6,37,83,28,25,3,98,84,78,26,7,105,18,18,243,193,101821,116250,115854,131250,,60027,145,51.2,97.9,2.1,0,2.1,0,47188,130,75048,180954,37813,,76346,,610,84,58,26,45,47,7,31,21,18,13.8
860Z200US64498,ZCTA5 64498,64498,127,140,47.9,5,18,23,10,5,22,46,33,28,35,23,19,0,127,125,79464,67868,68473,68529,,98339,109,47.3,100,0,0,0,9.2,42788,86,37708,,28750,54083,,,267,19,13,6,5,5,0,14,3,9,7.1
860Z200US64499,ZCTA5 64499,64499,84,55,55.8,1,2,0,41,9,6,8,1,26,3,42,0,0,109,72,105711,148102,122756,79167,91033,81694,84,23.6,100,0,0,0,0,66724,84,77772,,78424,,26250,,139,21,12,9,0,5,5,12,0,3,15.1
860Z200US64501,ZCTA5 64501,64501,5489,4865,35.3,582,843,697,562,832,1594,1620,1061,540,718,881,246,178,5598,4253,57025,60701,68900,73214,25850,42913,4493,38.6,88.3,11.7,4.1,7.6,13.1,32301,4219,33472,26958,30642,27330,41339,56771,10145,2209,1093,1116,467,582,1007,871,441,823,21.8
860Z200US64503,ZCTA5 64503,64503,5968,5953,39.9,741,744,700,570,791,1539,1416,1543,873,967,1208,650,179,5774,5005,69592,58450,77788,69747,40740,53435,5818,40.9,95.9,4.1,2.9,1.2,5.1,36413,5506,39918,31453,39235,40882,44826,64583,11921,2271,934,1337,643,509,1033,1025,208,606,19.1
860Z200US64504,ZCTA5 64504,64504,5190,5096,41.7,557,769,775,552,502,1184,1153,1216,918,920,1155,488,97,4431,3962,75267,62349,76587,73079,36050,69480,4181,46.1,97.5,2.5,1.1,1.4,4.1,39781,3952,39706,29120,36406,40719,63846,73636,10260,2277,1128,1149,579,713,1131,1314,571,880,22.2
860Z200US64505,ZCTA5 64505,64505,6967,6908,41.3,774,887,895,853,803,1538,1952,1763,1327,940,1323,550,270,5836,5253,105079,82750,119400,101083,48505,56779,6672,43.9,93.4,6.6,4.9,1.7,8.5,48189,6163,48814,28931,48339,46946,49091,91513,13695,2082,1125,957,512,551,901,920,317,755,15.2
860Z200US64506,ZCTA5 64506,64506,11475,10632,39.6,1183,1139,1416,1351,1687,2843,2786,2619,1107,1317,2591,1429,639,9820,8966,88955,88870,114331,106744,33623,52364,9641,41.6,94.1,5.9,3.2,2.7,8.2,45140,8895,47343,26250,37321,37874,57034,80495,20016,2925,1472,1453,1146,690,1153,1305,361,646,14.6
860Z200US64507,ZCTA5 64507,64507,6582,7577,34.2,992,764,833,1561,1095,1991,1732,1465,816,878,1205,575,252,6017,5369,78378,75388,96428,92236,34821,46394,6406,40.2,97.7,2.3,1.7,0.6,5.4,40534,5876,41826,,35503,50438,58938,58365,13979,2359,1160,1199,826,703,1015,992,445,788,16.9
860Z200US64601,ZCTA5 64601,64601,5323,6787,40.1,565,674,788,822,649,1643,1667,1352,685,790,1267,825,383,5219,4640,80731,76890,96694,89509,31909,47995,5122,42.3,98.9,1.1,0.4,0.6,1.5,41640,4827,41590,29243,39348,40868,43641,61458,10895,1696,704,992,472,204,663,936,355,614,15.6
860Z200US64620,ZCTA5 64620,64620,322,246,36,66,97,40,11,12,19,104,38,41,30,85,20,5,302,185,96835,78750,114237,90417,,60855,260,44.3,100,0,0,0,0,57500,163,57868,27083,46000,41200,97014,71595,568,86,51,35,48,1,8,41,0,7,15.1
860Z200US64622,ZCTA5 64622,64622,278,270,48.7,14,23,70,20,30,26,41,122,98,34,50,10,10,277,223,94681,88214,116449,87857,56250,50988,307,50.2,100,0,0,0,5.2,47404,298,47569,,51792,38750,46202,34871,548,73,17,56,14,10,41,40,6,17,13.3
860Z200US64623,ZCTA5 64623,64623,243,194,45.7,17,30,42,27,29,29,26,63,24,38,63,43,6,277,149,65150,51875,61885,50625,45625,71123,135,49.8,100,0,0,0,0,36917,128,31667,,35313,42188,,,437,81,41,40,30,11,28,59,30,29,18.5
860Z200US64624,ZCTA5 64624,64624,760,728,49.5,48,81,86,88,94,115,144,173,89,173,228,102,67,773,647,72859,78333,83621,91944,39063,44576,667,44.4,100,0,0,0,1.5,41677,615,41955,56667,42024,39688,45000,"2,500-",1453,213,110,103,65,56,74,86,24,67,14.7
860Z200US64625,ZCTA5 64625,64625,401,399,31.5,37,86,78,33,89,91,95,84,66,47,70,20,4,399,312,63364,73173,72300,93125,31316,37965,374,44,98.9,1.1,0,1.1,11,32337,337,32917,27917,29063,50114,63333,,800,69,20,49,11,15,26,47,19,35,8.6
860Z200US64628,ZCTA5 64628,64628,2734,2868,44.2,308,384,323,356,237,693,566,648,451,379,632,471,154,2896,2384,84239,69801,91247,84081,37688,63713,2624,44.1,100,0,0,0,0.7,38466,2507,40338,27500,35840,41615,60577,40938,5451,856,454,402,183,131,309,396,135,203,15.7
860Z200US64630,ZCTA5 64630,64630,298,218,36,7,44,42,57,34,62,70,62,25,39,47,20,7,344,213,64456,56908,68403,82500,,49562,237,38.9,97,3,0,3,3,41738,205,41341,31154,42150,32500,48750,,516,50,26,24,26,6,17,25,13,19,9.7
860Z200US64631,ZCTA5 64631,64631,353,452,49.1,56,52,36,38,38,95,70,77,42,104,122,52,23,483,339,67116,69423,82608,76750,26964,36990,385,43.8,99.5,0.5,0,0.5,0,39743,327,41250,52083,39844,32813,52188,57500,805,136,77,59,52,28,55,71,34,38,16.9
860Z200US64632,ZCTA5 64632,64632,187,214,56.9,22,18,12,26,9,24,47,34,23,43,87,43,13,346,179,65141,62917,80032,67500,19643,30644,177,48.7,98.9,1.1,0,1.1,0,35139,154,34554,,35417,34750,33333,,401,52,24,28,11,5,9,39,3,14,13
860Z200US64633,ZCTA5 64633,64633,2217,2287,39.9,274,256,403,305,140,598,485,484,326,225,548,301,159,2232,1796,80099,74191,100262,85469,29066,39493,1942,40,99.7,0.3,0.3,0,1.2,38682,1834,40690,35972,36750,36964,53250,61473,4414,593,272,321,143,85,203,291,43,196,13.4
860Z200US64635,ZCTA5 64635,64635,206,204,38.5,26,30,31,17,9,72,41,34,40,33,37,33,7,231,173,87608,88750,102314,100000,,46650,195,39.1,100,0,0,0,4.1,45885,170,46023,,46719,36500,56250,,410,52,26,26,15,5,26,32,13,31,12.7
860Z200US64636,ZCTA5 64636,64636,142,106,40.3,20,14,15,10,9,37,24,36,20,23,15,23,2,126,100,49499,55000,60192,53750,21563,33460,103,40.9,100,0,0,0,0,31080,99,30966,23750,31250,30938,,,248,49,30,19,18,9,19,24,10,10,19.8
860Z200US64637,ZCTA5 64637,64637,271,217,47,37,24,40,35,20,46,35,73,36,19,51,52,20,258,206,66012,66667,78122,79583,51667,50497,196,41.3,99,1,0.5,0.5,3.1,33611,176,33472,,30000,54750,35000,77500,488,93,44,49,45,27,23,63,26,40,19.1
860Z200US64638,ZCTA5 64638,64638,261,188,32.5,56,68,9,4,9,87,43,75,18,36,30,7,7,199,154,78971,96944,95590,117188,44375,49691,190,38.6,100,0,0,0,0,34333,177,34250,,30560,88250,64306,,445,40,15,25,4,10,8,25,5,7,9
860Z200US64639,ZCTA5 64639,64639,70,64,65.7,0,0,0,2,4,7,5,26,9,9,45,15,12,115,77,85691,,114825,,,46845,57,52.6,100,0,0,0,0,26813,53,26563,,25682,26944,,,134,18,16,2,8,6,1,5,4,3,13.4
860Z200US64640,ZCTA5 64640,64640,1568,1615,44.5,224,230,201,170,130,328,334,404,158,168,505,228,103,1802,1241,73666,68529,88281,72390,34934,39865,1318,44.7,100,0,0,0,2.7,37021,1220,37875,24922,36038,41667,43750,60577,3136,512,263,249,102,134,202,279,82,176,16.3
860Z200US64641,ZCTA5 64641,64641,283,319,41.5,32,40,47,40,30,74,67,59,42,48,40,47,36,333,250,72874,75962,99926,80417,21250,31594,248,43.9,98.8,1.2,0,1.2,0.8,43750,225,43906,,44375,43929,,75000,599,87,49,38,15,8,39,49,29,47,14.5
860Z200US64642,ZCTA5 64642,64642,369,325,40.7,56,41,66,34,41,66,78,84,21,45,87,45,30,348,275,63368,66250,80881,68125,29028,34478,265,38.2,95.8,4.2,0,4.2,0.8,41875,260,47917,,49375,46250,52500,49063,694,140,86,54,68,28,61,83,23,28,20.2
860Z200US64643,ZCTA5 64643,64643,560,533,46.4,32,37,86,63,112,73,136,107,67,107,162,54,57,609,461,65123,63000,80806,64750,24943,39960,444,44.5,100,0,0,0,0,38636,405,40313,18833,42011,35781,46250,51458,1093,164,106,58,50,38,56,84,18,48,15
860Z200US64644,ZCTA5 64644,64644,1651,1614,37.8,210,195,294,269,119,409,425,321,209,177,388,149,100,1394,1220,89057,84010,106829,90809,37917,43518,1352,42.9,99.3,0.7,0.7,0,1.2,41895,1197,42199,31463,36190,41486,55326,68289,3209,331,143,188,115,40,108,180,27,164,10.3
860Z200US64645,ZCTA5 64645,64645,135,79,41.3,24,13,9,13,8,31,20,17,21,6,30,16,6,145,81,78791,97188,102194,128750,33571,34493,77,35.1,100,0,0,0,0,42279,55,41618,,,41765,70469,55750,214,60,32,28,21,11,13,53,20,11,28
