Geography,Geographic Area Name,Zipcode,Male,Female,Median age (years),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total housing units,Households Total,Households Mean income (dollars),Families - Median income (dollars),Families - Mean income (dollars),Married-couple families - Median income (dollars),Nonfamily households - Median income (dollars),Nonfamily households - Mean income (dollars),Total Workers 16 years and over,Workers Median age (years),Workers Native,Workers Foreign born,Workers Foreign born - Naturalized U.S. citizen,Workers Foreign born - Not a U.S. citizen,Speak language other than English,Workers Median earnings (dollars),Workers 16 years and over who did not work from home,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Less than high school graduate,Tota - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!High school graduate (includes equivalency),Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Some college or associate's degree,Total - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings Bachelor's degree,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Graduate or professional degree,Total Population,Total Disability ,Total Disability  Male,Total Disability Female,Total Disability  With a hearing difficulty,Total Disability  With a vision difficulty,Total Disability  With a cognitive difficulty,Total Disability  With an ambulatory difficulty,Total Disability  With a self-care difficulty,Total Disability With an independent living difficulty,Percent with a disability
860Z200US63783,ZCTA5 63783,63783,90,77,24.3,15,0,15,32,25,10,11,22,24,0,0,13,0,79,51,58153,,,,,,70,24.6,68.6,31.4,31.4,0,0,,70,,,,,,,167,37,24,13,13,0,24,24,0,0,22.2
860Z200US63784,ZCTA5 63784,63784,106,87,39.5,13,6,9,22,0,22,38,7,8,7,50,7,4,77,66,46768,57813,52407,58393,22000,28645,46,49.5,100,0,0,0,0,29583,46,22500,36250,,37500,,,185,64,37,27,21,14,34,35,12,20,34.6
860Z200US63785,ZCTA5 63785,63785,654,417,48.9,55,89,119,57,39,68,23,270,85,88,95,82,1,491,403,74768,80574,88378,78750,17500,26049,569,51.5,100,0,0,0,0,40875,538,41148,29000,42583,,41414,,1071,71,49,22,16,1,18,55,29,18,6.6
860Z200US63787,ZCTA5 63787,63787,254,286,56.5,20,17,26,45,34,34,19,61,72,51,131,27,3,296,223,60838,54583,72166,56250,15000,22033,256,52.4,100,0,0,0,4.3,25469,237,30000,17857,30625,,,,540,140,68,72,59,28,49,84,49,45,25.9
860Z200US63801,ZCTA5 63801,63801,10521,11600,39.4,1335,1733,1436,1428,1170,3043,2307,2468,1354,1166,2444,1623,614,10013,9034,81077,71340,95701,87849,31706,51558,9484,42.2,98.4,1.6,1.1,0.6,4.4,38257,9202,39955,26677,35341,38067,54102,60556,21753,4264,2132,2132,1399,762,1673,2330,773,1751,19.6
860Z200US63820,ZCTA5 63820,63820,85,184,39.9,20,23,20,28,10,30,6,22,4,9,17,75,5,130,111,46721,56563,56589,63906,,14454,72,34.3,100,0,0,0,0,29286,72,31250,,36458,29464,,,269,94,52,42,57,27,21,43,6,19,34.9
860Z200US63821,ZCTA5 63821,63821,355,272,46.1,47,42,25,40,42,63,49,40,47,91,85,54,2,351,282,53293,60250,68979,71806,26953,31560,251,40.5,80.5,19.5,2.8,16.7,26.7,28774,244,29399,28882,29643,36250,,48571,627,197,130,67,68,15,44,132,35,52,31.4
860Z200US63822,ZCTA5 63822,63822,1283,1279,48,106,237,133,75,74,252,263,351,153,251,469,125,73,1281,1074,60677,62279,72582,76250,28200,34133,882,45.8,98.4,1.6,0.9,0.7,2.8,39922,869,38730,45045,34367,39957,50223,51167,2536,472,238,234,103,90,242,233,61,135,18.6
860Z200US63823,ZCTA5 63823,63823,603,828,48.9,85,18,174,53,88,83,144,181,99,218,166,83,39,595,491,72601,74940,82504,97708,51731,50514,630,48.6,100,0,0,0,2.1,45046,586,45814,87730,41375,36154,46463,,1385,321,132,189,133,45,69,188,61,102,23.2
860Z200US63824,ZCTA5 63824,63824,66,106,38.5,25,9,10,8,18,11,9,20,15,29,10,8,0,69,59,57234,65625,61943,90625,,44755,70,55.8,100,0,0,0,0,33438,70,32222,,31250,52813,37000,,172,32,3,29,17,17,3,13,2,5,18.6
